"REF","S.DATE","E.DATE","lat","lon"
"pv35b-05-11","01/12/2017 17:21","01/12/2017 23:36",58.96635056,9.67105484
"pv35b-05-11","03/12/2017 15:17","04/12/2017 00:26",58.96755314,9.670440197
"pv35b-05-11","05/12/2017 15:18","05/12/2017 16:55",58.93748856,9.631629944
"pv35b-05-11","05/12/2017 17:05","06/12/2017 03:38",58.93751373,9.63166008
"pv35b-05-11","08/12/2017 20:57","08/12/2017 21:35",58.93748093,9.631739616
"pv35b-05-11","09/12/2017 18:08","10/12/2017 05:26",58.9375061,9.631558037
"pv35b-05-11","12/12/2017 16:40","12/12/2017 21:17",58.96768951,9.670260429
"pv35b-05-11","14/12/2017 15:47","15/12/2017 06:05",58.93751844,9.631658554
"pv35b-05-11","17/12/2017 13:07","17/12/2017 14:13",58.96743011,9.668950081
"pv35b-05-11","17/12/2017 15:08","18/12/2017 04:02",58.96749687,9.670364857
"pv35b-05-11","18/12/2017 14:04","18/12/2017 14:16",58.93947122,9.632210445
"pv35b-05-11","18/12/2017 14:29","18/12/2017 14:56",58.93828964,9.632269859
"pv35b-05-11","18/12/2017 15:06","19/12/2017 07:48",58.93822352,9.632303238
"pv35b-05-11","19/12/2017 14:16","20/12/2017 04:58",58.93809001,9.632859866
"pv35b-05-11","20/12/2017 15:37","20/12/2017 16:57",58.93820953,9.632710457
"pv35b-05-11","20/12/2017 22:05","21/12/2017 03:26",58.93810654,9.632890383
"pv35b-05-11","21/12/2017 17:33","22/12/2017 05:03",58.93818474,9.632870197
"pv35b-05-11","23/12/2017 15:40","23/12/2017 19:17",58.93759537,9.631490231
"pv35b-05-11","25/12/2017 17:01","25/12/2017 20:47",58.93745422,9.631655216
"pv35b-05-11","27/12/2017 18:13","27/12/2017 20:26",58.96760178,9.670769691
"pv35b-05-11","28/12/2017 17:24","28/12/2017 22:15",58.93799973,9.632699966
"pv35b-06-11","25/08/2017 19:28","26/08/2017 08:58",58.86626943,9.573483467
"pv35b-06-11","26/08/2017 10:27","26/08/2017 15:48",58.86618614,9.573784828
"pv35b-06-11","27/08/2017 07:30","27/08/2017 07:59",58.80989075,9.461759567
"pv35b-06-11","27/08/2017 19:43","28/08/2017 01:22",58.80732727,9.445870161
"pv35b-06-11","28/08/2017 08:35","28/08/2017 11:39",58.81022453,9.459945202
"pv35b-06-11","28/08/2017 11:45","28/08/2017 16:13",58.80698013,9.45644474
"pv35b-06-11","29/08/2017 06:57","29/08/2017 08:15",58.86642075,9.574830055
"pv35b-06-11","30/08/2017 00:12","30/08/2017 07:15",58.81619453,9.402925014
"pv35b-06-11","30/08/2017 17:48","31/08/2017 07:06",58.86583964,9.576056798
"pv35b-06-11","31/08/2017 07:11","31/08/2017 11:03",58.86637115,9.571549988
"pv35b-06-11","31/08/2017 21:06","01/09/2017 00:22",58.86621475,9.573500156
"pv35b-06-11","01/09/2017 01:09","01/09/2017 16:27",58.86625366,9.574671936
"pv35b-06-11","02/09/2017 11:49","03/09/2017 11:43",58.86628589,9.574486198
"pv35b-06-11","03/09/2017 11:49","04/09/2017 11:43",58.8667717,9.574390411
"pv35b-06-11","04/09/2017 11:45","04/09/2017 15:34",58.86675693,9.57437956
"pv35b-06-11","06/09/2017 14:40","07/09/2017 14:34",58.86654266,9.574222066
